#n,m,mnU,localU,mnTime,localTime
5,32,0.37081388789070546,0.28652944254919116,1.72,73.87
5,33,0.3779982589055453,0.29032505614608245,1.98,92.14
5,34,0.36657862502481864,0.2844297176142698,2.32,110.36
5,35,0.35346078708772316,0.28681768032687677,2.6,130.09
5,36,0.38956270227732426,0.28548610610043074,2.13,109.21
5,37,0.37374673981059237,0.2856915338824964,2.29,128.49
5,38,0.36989936179408794,0.2874988528845384,2.5,152.99
5,39,0.36403088069546663,0.28478575471167356,2.9,178.53
5,40,0.35575977552694454,0.28679068315626394,3.18,213.37
5,41,0.37768655777083104,0.2829668963912958,2.62,173.07
5,42,0.37449803146452176,0.2850425382851962,2.96,200.09
5,43,0.3693881145948954,0.28266316290083904,3.2,244.27
5,44,0.36245827320197926,0.283436451885265,3.28,276.15
5,45,0.35594206123478755,0.27985211401761684,3.88,320.08
5,46,0.37000593179125696,0.28326055199453054,3.28,262.44
5,47,0.37432070527082245,0.28165016769854667,3.25,288.34
5,48,0.35574560912683195,0.2834214905101593,4.23,371.21
5,49,0.3604881419810863,0.2831621554840071,6.12,723.42
5,50,0.355333318932588,0.2800369755635832,5.09,517.48
6,12,0.34808702229871985,0.29210882160708956,0.69,2.7
6,13,0.4130408682575544,0.3075876460212689,0.59,3.46
6,14,0.404342027047551,0.3000951410453564,0.65,4.4
6,15,0.3873752474981946,0.2956013511755396,0.78,5.85
6,16,0.38284529505529874,0.29444457777306166,0.79,6.87
6,17,0.3684197150853597,0.2926590115349495,0.97,8.36
6,18,0.34461021661191465,0.2937030679986897,1.06,10.87
6,19,0.4088137400346777,0.2919248825452032,0.93,12.55
6,20,0.3940713508506043,0.2940560207465272,1.04,14.63
6,21,0.38672018490420723,0.29228907912432067,1.14,18.52
6,22,0.37733915295927367,0.29296890883490656,1.26,21.81
6,23,0.35392866842024373,0.29173382661313485,1.4,26.31
6,24,0.3451797223656962,0.2889649750670022,1.66,32.92
